case_id,provider,backend,top_k,threshold,category,question,expected_sources,retrieved_sources,retrieved_count,source_hit,recall_at_k,reference_coverage,average_similarity,latency_ms,status,error
1,hash,in_memory_exact_cosine,3,0.2,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,2.938,ok,
2,hash,in_memory_exact_cosine,3,0.2,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,2.955,ok,
3,hash,in_memory_exact_cosine,3,0.2,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,3.128,ok,
4,hash,in_memory_exact_cosine,3,0.2,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,3.313,ok,
5,hash,in_memory_exact_cosine,3,0.2,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,3.104,ok,
6,hash,in_memory_exact_cosine,3,0.2,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,2.992,ok,
7,hash,in_memory_exact_cosine,3,0.2,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,2.906,ok,
8,hash,in_memory_exact_cosine,3,0.2,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,3.266,ok,
9,hash,in_memory_exact_cosine,3,0.2,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,2.799,ok,
10,hash,in_memory_exact_cosine,3,0.2,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,2.93,ok,
1,hash,in_memory_exact_cosine,5,0.2,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,2.811,ok,
2,hash,in_memory_exact_cosine,5,0.2,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,2.864,ok,
3,hash,in_memory_exact_cosine,5,0.2,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,3.023,ok,
4,hash,in_memory_exact_cosine,5,0.2,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,3.457,ok,
5,hash,in_memory_exact_cosine,5,0.2,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,3.793,ok,
6,hash,in_memory_exact_cosine,5,0.2,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,4.354,ok,
7,hash,in_memory_exact_cosine,5,0.2,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,3.17,ok,
8,hash,in_memory_exact_cosine,5,0.2,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,2.902,ok,
9,hash,in_memory_exact_cosine,5,0.2,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,3.421,ok,
10,hash,in_memory_exact_cosine,5,0.2,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,2.913,ok,
1,hash,in_memory_exact_cosine,10,0.2,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,2.787,ok,
2,hash,in_memory_exact_cosine,10,0.2,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,2.795,ok,
3,hash,in_memory_exact_cosine,10,0.2,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,2.874,ok,
4,hash,in_memory_exact_cosine,10,0.2,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,3.977,ok,
5,hash,in_memory_exact_cosine,10,0.2,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,2.926,ok,
6,hash,in_memory_exact_cosine,10,0.2,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,3.771,ok,
7,hash,in_memory_exact_cosine,10,0.2,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,3.023,ok,
8,hash,in_memory_exact_cosine,10,0.2,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,2.901,ok,
9,hash,in_memory_exact_cosine,10,0.2,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,3.943,ok,
10,hash,in_memory_exact_cosine,10,0.2,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,3.898,ok,
1,hash,in_memory_exact_cosine,3,0.3,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,4.009,ok,
2,hash,in_memory_exact_cosine,3,0.3,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,3.65,ok,
3,hash,in_memory_exact_cosine,3,0.3,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,3.625,ok,
4,hash,in_memory_exact_cosine,3,0.3,宣传渠道查询,酒店计划通过哪些渠道进行宣传,M3287,M3223,1,0,0.0,0.214663,0.10961,3.634,ok,
5,hash,in_memory_exact_cosine,3,0.3,食品处理查询,过期或不新鲜食品如何处理,M3307,M3307,1,1,1.0,0.705263,0.218462,3.937,ok,
6,hash,in_memory_exact_cosine,3,0.3,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,M0104;M0106,M0106,1,1,0.5,0.611073,0.131852,3.985,ok,
7,hash,in_memory_exact_cosine,3,0.3,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,M0104;M0105;M0106,M0105,1,1,0.333333,0.394167,0.114069,3.82,ok,
8,hash,in_memory_exact_cosine,3,0.3,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,M0101;M0102;M0105;M0106,M0105,1,1,0.25,0.450536,0.140221,3.041,ok,
9,hash,in_memory_exact_cosine,3,0.3,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,M0102;M0103;M0104;M0106,M0106,1,1,0.25,0.449265,0.238149,2.884,ok,
10,hash,in_memory_exact_cosine,3,0.3,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,M0104;M0105;M0106,M0105,1,1,0.333333,0.486919,0.183832,2.88,ok,
1,hash,in_memory_exact_cosine,5,0.3,活动信息查询,汉服文化节的活动时间是何时,M3311,M1929,1,0,0.0,0.304592,0.155457,3.897,ok,
2,hash,in_memory_exact_cosine,5,0.3,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,M3154,M0119,1,0,0.0,0.0,0.08148,3.535,ok,
3,hash,in_memory_exact_cosine,5,0.3,人群定位查询,酒店亲子房的目标人群是哪些,M3343,M3343,1,1,1.0,0.71129,0.396784,3.695,ok,
