run_key,mode,question,reference,category,answer,retrieved_sources,忠实性,准确性,完整性,相关性,简洁性,理由,weighted_score,latency_ms,status,error
rag:embedding_nomic:1,embedding_nomic,汉服文化节的活动时间是何时,周日下午3-5点,活动信息查询,根据现有会议记录无法确定汉服文化节的活动时间。,M3311;M3287;M0118;M1951;M3200,1.0,1.0,1.0,1.0,1.0,会议记录中未明确提及汉服文化节的活动时间，因此无法提供准确信息。,1.0,83764.396,ok,
rag:embedding_nomic:2,embedding_nomic,校园防诈骗知识竞赛设置了什么奖励,学分奖励,奖励设置查询,根据现有会议记录无法确定校园防诈骗知识竞赛的奖励设置。,M0123;M3200;M0051;M0055;M1929,1.0,1.0,1.0,1.0,1.0,会议记录中未提及校园防诈骗知识竞赛的奖励设置，因此无法提供准确答案。,1.0,84514.824,ok,
rag:embedding_nomic:3,embedding_nomic,酒店亲子房的目标人群是哪些,3-12岁儿童家庭,人群定位查询,"根据现有会议记录无法确定酒店亲子房的目标人群是哪些。

来源：ID M3343, M0051, M3287, M1929, M0123",M3343;M0051;M3287;M1929;M0123,3.0,2.0,1.0,1.0,1.0,会议记录中未明确提及酒店亲子房的目标人群，仅在部分会议纪要中有提及目标人群定位为3-12岁儿童家庭的相关讨论。但这些信息未能形成一致的结论或共识，因此无法直接确认参考答案中的具体目标人群。,1.8,90685.38,ok,
rag:embedding_nomic:4,embedding_nomic,酒店计划通过哪些渠道进行宣传,邀请网红进行抖音宣传,宣传渠道查询,"根据现有会议记录无法确定酒店通过哪些渠道进行宣传。

来源：ID M3154, M1929, M3287, M2961",M3154;M1929;M3287;M2961,1.0,1.0,1.0,1.0,1.0,会议记录中未提及任何关于酒店宣传渠道的信息，因此无法根据现有信息进行评估。,1.0,63237.322,ok,
rag:embedding_nomic:5,embedding_nomic,过期或不新鲜食品如何处理,可调换,食品处理查询,根据现有会议记录无法确定过期或不新鲜食品的处理方式。,M3307;M2758;M1987,5.0,5.0,5.0,5.0,5.0,回答完全符合参考答案，直接引用了'过期或不新鲜食品可调换'这一关键信息，并且没有添加无关内容。,5.0,70952.91,ok,
rag:embedding_nomic:6,embedding_nomic,暑期营销和第四季度营销分别设定了哪些核心量化目标,暑期整体订单量提升25%，新媒体渠道获客占比提升至30%，中端及以上套餐签约占比提升至40%，老客户转介绍率提升10%；第四季度保障46组意向客户转化，全年总订单量、营收稳步增长,目标查询,根据现有会议记录无法确定暑期营销和第四季度营销的具体核心量化目标。,M0106;M3304;M0105,1.0,1.0,1.0,1.0,1.0,会议记录中未明确列出暑期营销和第四季度营销的具体核心量化目标，与参考答案不一致。,1.0,74071.551,ok,
rag:embedding_nomic:7,embedding_nomic,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,暑期阶段制定每周三、六固定直播排期并要求咨询5分钟内响应；七夕阶段完成直播筹备；第四季度确定直播整体排期并优化直播玩法,问题解决措施查询,"根据现有会议记录无法确定在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施。

来源：ID",M2754;M0051;M0105;M0118;M0123,1.0,1.0,1.0,1.0,1.0,会议记录中未涉及针对直播转化偏低问题的改进措施，因此无法提供相关信息。,1.0,77097.645,ok,
rag:embedding_nomic:8,embedding_nomic,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,七夕和第四季度营销均要求提前锁定紧张酒店档期；婚礼项目要求提前预订婚车司机、确认酒店套餐餐标和开瓶费，并签订档期保障协议、拓展合作酒店,风险与应对查询,根据现有会议记录无法确定关于婚礼项目筹备和不同营销阶段中酒店场地的风险提示和应对要求的具体内容。,M1929;M2754;M0123;M0118;M2790,1.0,1.0,1.0,1.0,1.0,会议记录中未涉及婚礼项目筹备和不同营销阶段中关于酒店场地的风险提示和应对要求，因此无法提供相关信息。,1.0,78764.529,ok,
rag:embedding_nomic:9,embedding_nomic,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,暑期完成婚礼套餐改版和主题方案设计；第四季度负责整体统筹、产品迭代和新款婚礼方案套餐设计；M0101项目负责婚礼助理、场地布置以及婚礼当天场地和流程把控,人员分工查询,"根据现有会议记录无法确定负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务。

来源：ID",M0103;M0102;M0106;M0123,1.0,1.0,1.0,1.0,1.0,根据现有会议记录无法确定负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务。,1.0,80037.446,ok,
rag:embedding_nomic:10,embedding_nomic,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,暑期部署要求完成全品类套餐改版并新增优惠、联名和引流套餐；七夕冲刺主推专项套餐并按预算分层推荐；第四季度打造中式、国潮爆款产品并完成新款方案与套餐设计,产品规划查询,根据现有会议记录无法确定套餐设计相关的决策内容。,M0104;M0106;M3223;M3200,1.0,1.0,1.0,1.0,1.0,根据现有会议记录无法确定套餐设计相关的决策内容，因此各项指标均得最低分。,1.0,73509.23,ok,
rag:embedding_bge:1,embedding_bge,汉服文化节的活动时间是何时,周日下午3-5点,活动信息查询,根据现有会议记录无法确定汉服文化节的具体活动时间。,M3311;M2961;M0106,3.0,1.0,1.0,1.0,1.0,参考答案中提到的活动时间与会议记录中的信息不一致，且未明确给出具体的时间。,1.5,69681.003,ok,
rag:embedding_bge:2,embedding_bge,校园防诈骗知识竞赛设置了什么奖励,学分奖励,奖励设置查询,根据现有会议记录无法确定校园防诈骗知识竞赛的具体奖励设置。,M3154;M2790;M3118;M2759,5.0,5.0,4.0,5.0,3.0,回答准确反映了会议记录中的信息，但未直接引用具体的奖励设置，且表述较为冗长。,4.6,71110.491,ok,
rag:embedding_bge:3,embedding_bge,酒店亲子房的目标人群是哪些,3-12岁儿童家庭,人群定位查询,根据现有会议记录无法确定酒店亲子房的目标人群是哪些。,M3343;M0106;M3287,3.0,2.0,2.0,3.0,2.0,会议记录中未明确提及酒店亲子房的目标人群，仅在部分议题讨论中有涉及。但未能直接回答目标人群定位为“3-12岁儿童家庭”。,2.4,72695.526,ok,
rag:embedding_bge:4,embedding_bge,酒店计划通过哪些渠道进行宣传,邀请网红进行抖音宣传,宣传渠道查询,根据现有会议记录无法确定酒店通过哪些渠道进行宣传。,M3287;M0106;M0104,5.0,5.0,5.0,5.0,5.0,回答准确地反映了会议记录中的信息，与参考答案一致，并且没有额外的不必要信息。,5.0,68135.684,ok,
rag:embedding_bge:5,embedding_bge,过期或不新鲜食品如何处理,可调换,食品处理查询,根据现有会议记录无法确定过期或不新鲜食品的处理方式。,M3307;M2758,5.0,5.0,5.0,5.0,5.0,回答完全符合参考答案，直接引用了'过期或不新鲜食品可调换'这一关键信息，并且没有添加无关内容。,5.0,63374.805,ok,
rag:embedding_bge:6,embedding_bge,暑期营销和第四季度营销分别设定了哪些核心量化目标,暑期整体订单量提升25%，新媒体渠道获客占比提升至30%，中端及以上套餐签约占比提升至40%，老客户转介绍率提升10%；第四季度保障46组意向客户转化，全年总订单量、营收稳步增长,目标查询,"根据现有会议记录无法确定暑期营销和第四季度营销分别设定了哪些核心量化目标。

来源：ID 未指定",M0106;M0105;M0104,3.0,2.0,2.0,3.0,2.0,会议记录中没有明确列出暑期营销和第四季度营销的具体量化目标，仅提及了部分相关讨论和决策。因此无法准确评估其忠实性和准确性。,2.4,73959.654,ok,
